City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
265,Guerrero Negro,MX,2021-05-20 23:02:20,27.9769,-114.0611,66.94,65,46,22.57
266,Puerto Madero,MX,2021-05-20 23:02:20,14.7208,-92.4215,88.0,70,40,5.75
267,Kaitangata,NZ,2021-05-20 23:02:20,-46.2817,169.8464,49.93,85,99,10.11
268,Sur,OM,2021-05-20 23:02:21,22.5667,59.5289,92.17,33,0,7.67
269,Marawi,PH,2021-05-20 23:02:21,7.9986,124.2928,66.65,88,96,1.66
270,Jumla,NP,2021-05-20 23:02:21,29.2747,82.1838,54.36,87,93,5.66
271,Aurora,US,2021-05-20 22:59:10,39.7294,-104.8319,81.52,25,40,5.01
272,Toamasina,MG,2021-05-20 23:02:21,-18.1667,49.3833,68.97,83,95,12.21
273,Kozhanka,UA,2021-05-20 23:02:22,49.9793,29.7381,52.75,91,100,6.78
274,Pathein,MM,2021-05-20 23:02:22,16.7833,94.7333,81.46,76,99,3.62
275,Alappuzha,IN,2021-05-20 23:02:23,9.49,76.3264,79.32,83,100,3.31
276,Champerico,GT,2021-05-20 23:02:23,14.3,-91.9167,87.35,70,8,7.09
277,Mollendo,PE,2021-05-20 23:02:23,-17.0231,-72.0147,64.44,82,82,8.39
278,Talnakh,RU,2021-05-20 23:02:23,69.4865,88.3972,17.4,95,88,4.76
279,Roma,US,2021-05-20 22:59:38,43.2128,-75.4557,70.84,88,77,5.21
280,Cockburn Town,TC,2021-05-20 23:02:24,21.4612,-71.1419,78.21,78,92,25.66
281,Sept-Iles,CA,2021-05-20 23:02:24,50.2001,-66.3821,48.25,86,53,1.01
282,Fortuna,US,2021-05-20 23:02:24,40.5982,-124.1573,60.19,60,75,8.99
283,Nhulunbuy,AU,2021-05-20 23:02:25,-12.2333,136.7667,81.21,74,40,12.66
284,Marzuq,YE,2021-05-20 23:02:25,14.4,46.4667,78.28,51,22,0.29
285,Duluth,US,2021-05-20 22:58:47,46.7833,-92.1066,70.86,93,75,10.36
286,Maragogi,BR,2021-05-20 23:02:25,-9.0122,-35.2225,76.82,84,0,3.94
287,Petatlan,MX,2021-05-20 23:02:26,17.5167,-101.2667,87.46,39,0,6.62
288,Belmonte,BR,2021-05-20 23:02:26,-15.8631,-38.8828,74.14,80,1,8.68
289,Srednekolymsk,RU,2021-05-20 22:58:51,67.45,153.6833,34.9,94,100,8.3
290,Yibin,CN,2021-05-20 23:02:26,28.7667,104.6238,67.93,93,100,1.83
291,Namatanai,PG,2021-05-20 23:02:27,-3.6667,152.4333,83.68,71,45,0.6
292,Khor,RU,2021-05-20 23:02:27,47.8861,134.9464,60.98,86,53,10.45
293,Aklavik,CA,2021-05-20 23:02:27,68.2191,-135.0107,59.72,33,3,11.32
294,Scarborough,GB,2021-05-20 22:57:36,54.2797,-0.4044,50.85,90,100,3.0
