City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
160,Port Blair,IN,11.6667,92.75,82.56,83,100,24.49,overcast clouds
161,Itarema,BR,-2.9248,-39.9167,79.02,82,33,12.35,scattered clouds
162,Baculin,PH,7.4525,126.5842,83.77,72,81,2.95,broken clouds
163,Amberley,US,39.2048,-84.428,81.46,67,90,4.7,overcast clouds
164,Guapore,BR,-28.8456,-51.8903,52.72,75,93,8.12,overcast clouds
165,Platteville,US,42.7342,-90.4785,79.47,73,40,9.22,scattered clouds
166,Evensk,RU,61.95,159.2333,41.31,73,64,4.45,broken clouds
167,Codrington,AU,-38.2667,141.9667,58.48,61,100,12.86,overcast clouds
168,Zheleznodorozhnyy,RU,55.7503,38.0042,52.36,88,17,7.99,few clouds
169,Krasnoye,UA,49.9145,24.6134,51.15,97,100,8.88,overcast clouds
170,Quilali,NI,13.567,-86.026,80.56,60,100,7.16,overcast clouds
171,Tukrah,LY,32.5341,20.5791,68.85,39,0,6.89,clear sky
172,Saint-Joseph,RE,-21.3667,55.6167,68.36,81,85,12.93,light rain
173,Felanitx,ES,39.4696,3.1483,57.96,94,100,8.39,light rain
174,Gulf Gate Estates,US,27.2517,-82.5147,82.98,64,75,8.99,broken clouds
175,Buala,SB,-8.145,159.5921,81.88,79,100,13.02,light rain
176,Kudahuvadhoo,MV,2.6708,72.8944,83.91,74,100,14.83,overcast clouds
177,Kirkwall,GB,58.9848,-2.9587,46.74,93,90,13.8,overcast clouds
178,Hobart,AU,-42.8794,147.3294,53.11,55,0,7.49,clear sky
179,Inuvik,CA,68.3499,-133.7218,39.96,71,75,15.3,broken clouds
180,Seoul,KR,37.5683,126.9778,65.59,66,95,1.81,overcast clouds
181,Terrace,CA,54.5163,-128.6035,65.43,54,87,3.31,overcast clouds
182,Mar Del Plata,AR,-38.0023,-57.5575,56.12,52,75,8.99,broken clouds
183,Sebinkarahisar,TR,40.2883,38.4236,47.88,79,96,3.0,overcast clouds
184,Ahipara,NZ,-35.1667,173.1667,60.19,64,96,16.58,overcast clouds
185,Saint-Ambroise,CA,48.5501,-71.3324,53.58,48,4,8.01,clear sky
186,Batagay-Alyta,RU,67.8006,130.4114,38.39,57,10,5.53,clear sky
187,Machali,CL,-34.1833,-70.6667,54.18,37,48,2.51,scattered clouds
188,Vao,NC,-22.6667,167.4833,71.37,59,31,15.46,scattered clouds
189,Warri,NG,5.5167,5.75,77.0,89,92,3.49,overcast clouds
190,Mildura,AU,-34.2,142.15,60.08,47,100,17.47,overcast clouds
191,Lokosovo,RU,61.1333,74.8167,57.96,54,21,15.57,few clouds
192,Mount Gambier,AU,-37.8333,140.7667,61.18,54,100,13.09,overcast clouds
193,Qaqortoq,GL,60.7167,-46.0333,43.3,51,100,10.89,overcast clouds
194,Lata,PT,40.1629,-8.3327,58.82,84,45,1.14,scattered clouds
195,Imbituba,BR,-28.24,-48.6703,58.6,62,0,7.29,clear sky
196,Pauini,BR,-7.7136,-66.9764,74.84,97,64,1.36,broken clouds
197,Aktau,KZ,43.65,51.2,68.58,30,0,11.45,clear sky
198,Mayuge,UG,0.4597,33.4803,65.08,87,74,3.78,light rain
199,Richards Bay,ZA,-28.783,32.0377,63.05,80,2,10.69,clear sky
200,Guntur,IN,16.3,80.45,87.26,58,98,6.55,overcast clouds
201,Bilma,NE,18.6853,12.9164,86.29,11,0,1.03,clear sky
202,Melilla,ES,35.2937,-2.9383,62.98,59,0,4.61,clear sky
203,Cherskiy,RU,68.75,161.3,45.99,48,10,6.58,clear sky
204,Cooma,AU,-36.2333,149.1333,46.17,72,90,6.2,overcast clouds
205,Vestmannaeyjar,IS,63.4427,-20.2734,43.86,78,37,6.4,scattered clouds
206,Carpentras,FR,44.0833,5.1667,53.69,65,100,3.06,overcast clouds
207,Tiksi,RU,71.6872,128.8694,34.95,78,63,10.74,broken clouds
208,Clyde River,CA,70.4692,-68.5914,19.63,93,90,18.41,snow
209,Kruisfontein,ZA,-34.0033,24.7314,56.88,28,19,9.86,few clouds
210,Fond Du Lac,US,43.775,-88.4388,58.19,100,90,6.91,overcast clouds
211,Nanortalik,GL,60.1432,-45.2371,36.25,66,100,8.19,overcast clouds
212,Bambanglipuro,ID,-7.95,110.2833,77.31,86,56,2.82,broken clouds
213,Maiduguri,NG,11.8464,13.1603,84.92,23,78,1.99,broken clouds
214,Isangel,VU,-19.55,169.2667,74.88,63,68,10.25,broken clouds
215,Sergeyevka,KZ,53.88,67.4158,64.65,85,30,4.03,scattered clouds
216,Anadyr,RU,64.75,177.4833,39.7,80,40,15.01,scattered clouds
217,Kahului,US,20.8947,-156.47,87.82,51,40,17.27,scattered clouds
218,Mitu,CO,1.1983,-70.1733,74.19,97,82,0.49,broken clouds
219,Kaeo,NZ,-35.1,173.7833,56.89,70,100,13.58,overcast clouds
220,Puerto Gaitan,CO,4.3133,-72.0816,79.5,81,78,4.32,broken clouds
221,Hambantota,LK,6.1241,81.1185,81.59,81,94,18.59,overcast clouds
222,Jiwani,PK,25.05,61.7417,82.94,81,51,8.01,light rain
223,Mareeba,AU,-17.0,145.4333,71.44,86,94,7.11,overcast clouds
224,Malakal,SS,9.5334,31.6605,84.15,50,59,4.99,broken clouds
225,Beloha,MG,-25.1667,45.05,63.25,91,0,8.63,clear sky
226,Hasaki,JP,35.7333,140.8333,73.29,71,94,4.45,overcast clouds
227,Sur,OM,22.5667,59.5289,85.77,59,0,15.28,clear sky
228,Solnechnyy,RU,50.7214,136.6319,54.01,75,92,4.21,overcast clouds
229,Tasiilaq,GL,65.6145,-37.6368,32.16,96,100,14.9,light snow
230,Guerrero Negro,MX,27.9769,-114.0611,66.24,57,3,20.33,clear sky
231,Dergaon,IN,26.7,93.9667,81.12,81,8,3.69,clear sky
232,Thompson,CA,55.7435,-97.8558,61.41,39,4,10.49,clear sky
233,Petatlan,MX,17.5167,-101.2667,87.6,44,42,5.12,scattered clouds
234,Quatre Cocos,MU,-20.2078,57.7625,69.1,79,62,13.13,light rain
235,Biak,ID,-0.9131,122.8766,78.24,83,80,10.54,broken clouds
236,Gamba,GA,-2.65,10.0,76.3,92,100,4.18,overcast clouds
237,Port Hedland,AU,-20.3167,118.5667,66.25,68,21,8.05,few clouds
238,Bathsheba,BB,13.2167,-59.5167,81.21,78,75,16.44,broken clouds
239,Esmeralda,CU,21.8525,-78.1169,78.04,65,37,9.98,scattered clouds
240,Abu Kamal,SY,34.4506,40.9171,72.97,35,1,10.36,clear sky
241,Mahebourg,MU,-20.4081,57.7,69.26,79,78,14.23,light rain
242,Grindavik,IS,63.8424,-22.4338,45.07,75,75,5.19,broken clouds
243,Tuatapere,NZ,-46.1333,167.6833,49.82,76,23,4.41,few clouds
244,Veraval,IN,20.9,70.3667,82.78,78,0,10.07,clear sky
245,Kaitangata,NZ,-46.2817,169.8464,48.92,75,82,2.8,broken clouds
246,Vila,PT,42.0304,-8.1588,47.32,98,95,6.69,overcast clouds
247,Souillac,MU,-20.5167,57.5167,69.37,83,78,12.08,light rain
248,Narsaq,GL,60.9167,-46.05,43.02,47,100,14.03,overcast clouds
249,Alice Springs,AU,-23.7,133.8833,74.21,21,0,11.99,clear sky
250,Jiuquan,CN,39.7432,98.5174,58.46,16,0,4.07,clear sky
251,Kerman,IR,30.2832,57.0788,72.79,32,75,4.54,broken clouds
252,Samarai,PG,-10.6167,150.6667,80.67,68,99,17.49,overcast clouds
253,Westport,US,41.1415,-73.3579,83.98,71,1,14.05,clear sky
254,Orsha,BY,54.5153,30.4053,45.82,96,75,6.89,broken clouds
255,Kloulklubed,PW,7.0419,134.2556,82.9,75,100,10.74,overcast clouds
256,Rio Gallegos,AR,-51.6226,-69.2181,44.19,75,100,16.53,overcast clouds
257,Port-Gentil,GA,-0.7193,8.7815,79.29,85,100,12.48,overcast clouds
258,Bokajan,IN,26.0167,93.7833,79.75,82,12,1.7,few clouds
259,Esperance,AU,-33.8667,121.9,50.25,83,90,26.37,overcast clouds
260,Umarkot,PK,25.3616,69.7362,83.35,68,0,13.22,clear sky
261,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,56,75,21.88,broken clouds
262,Dawlatabad,AF,36.4141,64.9053,71.91,13,0,2.21,clear sky
263,Mirador,BR,-6.3708,-44.3631,76.51,67,30,1.68,scattered clouds
264,Chipata,ZM,-13.6333,32.65,57.27,84,38,8.7,scattered clouds
265,Norman Wells,CA,65.282,-126.8329,43.75,91,100,10.71,light rain
266,Puri,IN,19.8,85.85,88.38,72,99,13.24,light rain
267,Tucurui,BR,-3.7661,-49.6725,79.21,80,88,1.32,overcast clouds
268,Pangoa,PE,-12.1167,-73.0,71.6,88,55,2.62,broken clouds
269,Brewster,US,41.3973,-73.6171,79.36,80,40,12.37,scattered clouds
270,Santa Lucia,ES,27.9117,-15.5407,59.76,73,40,17.76,scattered clouds
271,Xining,CN,36.6167,101.7667,44.17,70,5,2.26,clear sky
272,Padang,ID,-0.9492,100.3543,77.05,85,58,3.6,broken clouds
273,Yangshe,CN,31.8899,120.6052,70.03,76,87,5.57,overcast clouds
274,Outjo,NA,-20.1167,16.15,58.44,43,0,9.78,clear sky
275,Kamenka,RU,51.3223,42.7678,54.61,91,60,8.1,broken clouds
276,Pervomayskiy,RU,53.2485,40.2871,51.13,94,68,6.4,broken clouds
